DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
221115967,11/6/2022 0:00,11/5/2022 0:00,1730,11,Northeast,1129,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800    CHESTNUT                     AV,,34.1176,-118.1714
220811195,6/24/2022 0:00,6/15/2022 0:00,1830,8,West LA,889,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),344,27,F,H,108,PARKING LOT,,,IC,Invest Cont,420,,,,1900 S  LA CIENEGA                   BL,,34.0425,-118.3818
220910444,6/17/2022 0:00,6/16/2022 0:00,1000,9,Van Nuys,926,1,310,BURGLARY,0344 1300,31,F,O,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,310,,,,13700    VICTORY                      BL,,34.1903,-118.4399
221211782,5/13/2022 0:00,5/13/2022 0:00,2220,12,77th Street,1257,2,890,FAILURE TO YIELD,1309 1822,0,X,X,101,STREET,,,IC,Invest Cont,890,,,,7700 S  FIGUEROA                     ST,,33.9698,-118.2827
222013972,8/19/2022 0:00,8/18/2022 0:00,1515,20,Olympic,2015,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0400 0416 0605 0448 1258 1300 0443 1822,55,M,H,101,STREET,500,UNKNOWN WEAPON/OTHER WEAPON,JO,Juv Other,230,,,,COUNCIL,ALEXANDRIA                   AV,34.0753,-118.2984
221513211,7/30/2022 0:00,7/29/2022 0:00,900,15,N Hollywood,1527,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 1414 1300 0329,26,F,W,504,OTHER RESIDENCE,,,IC,Invest Cont,740,,,,11100    VICTORY                      BL,,34.1867,-118.372
222009175,4/9/2022 0:00,3/4/2022 0:00,1600,20,Olympic,2024,1,352,PICKPOCKET,0344 1822 2032,28,F,W,503,HOTEL,,,IC,Invest Cont,352,,,,3500    WILSHIRE                     BL,,34.0636,-118.3047
241305811,2/9/2024 0:00,12/22/2022 0:00,1600,13,Newton,1331,1,330,BURGLARY FROM VEHICLE,0344 1307,22,M,C,108,PARKING LOT,,,IC,Invest Cont,330,,,,3200 S  GRAND                        AV,,34.0216,-118.2754
220208798,4/14/2022 0:00,4/9/2022 0:00,2100,2,Rampart,219,1,310,BURGLARY,1202 1822 0342 0329,81,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1300    CARROLL                      AV,,34.0689,-118.2532
221115621,10/28/2022 0:00,10/12/2022 0:00,1200,11,Northeast,1184,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,1402 1407 1419 0913 2000 1813 1814 0421 0432,42,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,AO,Adult Other,930,998,,,1400    DOUGLAS                      ST,,34.0758,-118.2507
221808586,4/3/2022 0:00,4/3/2022 0:00,2020,18,Southeast,1834,1,210,ROBBERY,0913 2000 1813 0408 0344 0334,22,F,B,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210,,,,103RD,CENTRAL,33.9398,-118.2611
222008668,4/19/2022 0:00,4/19/2022 0:00,510,20,Olympic,2002,1,310,BURGLARY,0358 1607 1822,0,X,X,413,FURNITURE STORE,,,IC,Invest Cont,310,,,,600 N  WESTERN                      AV,,34.0799,-118.3113
222010189,5/22/2022 0:00,5/8/2022 0:00,900,20,Olympic,2033,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,800 S  HOBART                       BL,,34.0577,-118.3053
220818590,12/25/2022 0:00,12/25/2022 0:00,1700,8,West LA,853,2,624,BATTERY - SIMPLE ASSAULT,1202 0561 0400 0416 1310,60,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,SANTA MONICA                 BL,COLBY                        AV,34.0451,-118.453
221605029,2/2/2022 0:00,2/1/2022 0:00,310,16,Foothill,1618,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),329,66,F,O,725,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,IC,Invest Cont,745,,,,7700    JAYDEE CIR,,34.2685,-118.3027
220508207,4/20/2022 0:00,4/15/2022 0:00,1430,5,Harbor,569,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1236,0,M,O,108,PARKING LOT,,,IC,Invest Cont,740,,,,100 E  22ND                         ST,,33.7262,-118.2783
220916658,11/29/2022 0:00,11/28/2022 0:00,1640,9,Van Nuys,914,2,806,PANDERING,,0,F,W,101,STREET,,,IC,Invest Cont,806,,,,VOSE                         ST,SEPULVEDA                    BL,34.1984,-118.4662
221504843,1/14/2022 0:00,1/1/2022 0:00,1710,15,N Hollywood,1555,1,330,BURGLARY FROM VEHICLE,1300 0344,66,M,B,247,CAR WASH,,,IC,Invest Cont,330,,,,4800    LANKERSHIM                   BL,,34.158,-118.3705
221114740,10/5/2022 0:00,10/5/2022 0:00,1430,11,Northeast,1123,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),325,0,X,X,410,"MEMBERSHIP STORE (COSTCO,SAMS CLUB)*",,,IC,Invest Cont,442,,,,2900    LOS FELIZ                    BL,,34.1207,-118.2641
221310889,5/9/2022 0:00,5/8/2022 0:00,2205,13,Newton,1361,2,624,BATTERY - SIMPLE ASSAULT,0416 2004 0446 1309 1822,38,M,H,103,ALLEY,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,300 W  47TH                         PL,,34.0001,-118.2783
221225056,12/2/2022 0:00,12/2/2022 0:00,700,12,77th Street,1268,2,354,THEFT OF IDENTITY,0100 1822 0922 0930,40,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8400 S  BROADWAY,,33.9633,-118.2783
221117164,12/7/2022 0:00,12/5/2022 0:00,1800,11,Northeast,1115,1,310,BURGLARY,0344 0358 1609,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,310,,,,2200    COLORADO                     BL,,34.1391,-118.2141
222009536,5/6/2022 0:00,5/5/2022 0:00,1150,20,Olympic,2019,2,354,THEFT OF IDENTITY,0929 1822,52,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,200 N  HOOVER                       ST,,34.0728,-118.2878
220312873,6/27/2022 0:00,6/27/2022 0:00,940,3,Southwest,354,2,624,BATTERY - SIMPLE ASSAULT,1240 1822 0356 0416 0446 1310 0319,43,M,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624,,,,JEFFERSON                    BL,9TH                          AV,34.0256,-118.3272
221305141,1/24/2022 0:00,1/24/2022 0:00,800,13,Newton,1393,2,624,BATTERY - SIMPLE ASSAULT,1810 0913 0444,33,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,200 W  70TH                         ST,,33.9765,-118.2764
220818199,12/14/2022 0:00,12/10/2022 0:00,1410,8,West LA,854,2,900,VIOLATION OF COURT ORDER,2038 1814 2000,46,F,A,109,PARK/PLAYGROUND,,,AO,Adult Other,900,,,,1400 S  SEPULVEDA                    BL,,34.0469,-118.4451
221317229,9/6/2022 0:00,9/6/2022 0:00,2030,13,Newton,1309,1,220,ATTEMPTED ROBBERY,1218 0400 0411 1822,46,M,H,101,STREET,218,OTHER CUTTING INSTRUMENT,IC,Invest Cont,220,,,,23RD                         ST,SANTA FE                     AV,34.0173,-118.23
220206141,2/20/2022 0:00,2/20/2022 0:00,1255,2,Rampart,246,1,110,CRIMINAL HOMICIDE,1822 0430 1309 0906 1100,68,M,H,102,SIDEWALK,102,HAND GUN,AO,Adult Other,110,,,,600 S  ALVARADO                     ST,,34.0595,-118.2749
221005457,2/8/2022 0:00,2/8/2022 0:00,1700,10,West Valley,1065,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0800 1202 1414 1702,68,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,341,662,,,5500    NEWCASTLE                    AV,,34.1707,-118.5244
221911678,7/6/2022 0:00,6/9/2022 0:00,200,19,Mission,1972,1,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1258 0913 0408 0448 0553,12,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,235,,,,8900    BURNET                       AV,,34.2319,-118.4633
220405028,2/2/2022 0:00,2/1/2022 0:00,1900,4,Hollenbeck,464,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0913 0421,57,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",511,VERBAL THREAT,IC,Invest Cont,930,,,,2100 E  4TH                          ST,,34.0445,-118.2116
220107948,3/8/2022 0:00,2/26/2022 0:00,400,1,Central,145,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 2032 0344,58,M,B,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,,,IC,Invest Cont,440,,,,5TH                          ST,LOS ANGELES,34.0461,-118.2475
221805769,2/3/2022 0:00,2/2/2022 0:00,18,18,Southeast,1829,2,354,THEFT OF IDENTITY,0100 1822,36,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2100    CENTURY                      BL,,33.9463,-118.235
221715291,10/25/2022 0:00,10/25/2022 0:00,1330,17,Devonshire,1791,2,625,OTHER ASSAULT,0356 1822,27,F,H,404,DEPARTMENT STORE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,625,,,,20100    ROSCOE                       BL,,34.2244,-118.5804
220404570,1/19/2022 0:00,1/18/2022 0:00,1100,4,Hollenbeck,438,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,5200    ITHACA                       AV,,34.0742,-118.1731
221017831,12/18/2022 0:00,12/17/2022 0:00,1715,10,West Valley,1015,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,0,M,O,729,SPECIALTY SCHOOL/OTHER,,,IC,Invest Cont,740,,,,18000    SHERMAN                      WY,,34.2012,-118.5261
221613994,11/5/2022 0:00,11/5/2022 0:00,48,16,Foothill,1641,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,AA,Adult Arrest,510,,,,TERRA BELLA                  ST,LAUREL CANYON                BL,34.2528,-118.4258
221506467,3/3/2022 0:00,3/3/2022 0:00,1200,15,N Hollywood,1569,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510,,,,10400    VALLEY SPRING                LN,,34.1468,-118.3571
